item_code,item_name,description,product_group,manufacturing_site,net_mass_kg,allow_sales_order,legacy_code,double_stack,pallet_size,mrp_type,length_mm,width_mm,height_mm,board_gsm,board_width_mm,board_length_mm,bundle_quantity,bundles_per_layer,layers_per_pallet,pallet_height_mm,product_state,number_of_colours,fsc,pallet_quantity,board_code,market_segment,bom_available
BOX039/103/YPL/G0063/1100G,PRINTED LID -   DEVEREAU 3KG KIPPER LID 2021 344 x 210 x 95,PRINTED LID -   DEVEREAU 3KG KIPPER LID 2021 344 x 210 x 95 1100GSM 1750 Per Pallet,Glued Lid 4PT Poly,103,0.235,1,HPK202014/DEV,N,1000x1200,MTO,344.0,210.0,95.0,1100.0,1444.0,942.0,,,,,FG Box,300.0,Mix 70%,1750.0,SHT200280/A /,Meat & Poultry,1
BOX040/101/NPB/D0129/01/900G,PRINTED BASE - DOUGLAS WILLIS NO POLY 510 x 385 x 152 900G,PRINTED BASE - DOUGLAS WILLIS NO POLY 510 x 385 x 152 900GSM 1080 Per Pallet WK/WK,Glud Base 4PT No Pol,,0.5047,1,BOX040/103/NPB/D0129/01/1100G,N,1200 x 1000 (Standard),MTO,510.0,385.0,152.0,900.0,1378.0,829.0,27.0,10.0,4.0,1107.0,FG Box,200.0,Mix 70%,1080.0,TBC,Meat & Poultry,1
BOX040/103/NPB/D0129/01/1100G,PRINTED BASE -  Douglas Willis NO POLY 510 x 385 x 152 1100G,PRINTED BASE -  Douglas Willis NO POLY 510 x 385 x 152 1100GSM 900 Per Pallet NW/WK,Glud Base 4PT No Pol,103,0.6169,1,HPK200098/DWNEW,N,1000x1200,MTO,510.0,385.0,152.0,1100.0,1398.0,839.0,,,,,FG Box,201.0,Mix 70%,900.0,SHT200098/A /,Meat & Poultry,1
BOX040/103/YPB/D0129/02/1100G,PRINTED BASE -  Douglas Willis  510 x 385 x 152 1100GSM 900,PRINTED BASE -  Douglas Willis  510 x 385 x 152 1100GSM 900 Per Pallet NW/WK,Glued Base 4PT Poly,103,0.6169,1,HPK200098/DWT,N,1000x1200,BASE,510.0,385.0,152.0,1100.0,1398.0,839.0,,,,,FG Box,301.0,Mix 70%,900.0,SHT200098/A /,Meat & Poultry,0
BOX041/102/NPL/900G/1200P,UNPRINTED LID - 20KG POULTRY LID 550mm x 390mm x 135mm 900GS,UNPRINTED LID - 20KG POULTRY LID 550mm x 390mm x 135mm 900GSM 1200 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101101514,N,1000x1200,LID,550.0,390.0,135.0,900.0,818.0,1318.0,30.0,10.0,4.0,1715.0,FG Box,400.0,Mix 70%,1200.0,4-13905 /,Meat & Poultry,0
BOX041/102/NPL/900G/1200P(2),UNPRINTED LID - PLAIN CHICKEN LID 550mm x 390mm x 135mm 900G,UNPRINTED LID - PLAIN CHICKEN LID 550mm x 390mm x 135mm 900GSM 1200 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101101071,N,1000x1200,LID,550.0,390.0,135.0,900.0,1318.0,818.0,30.0,10.0,4.0,1715.0,FG Box,400.0,Mix 70%,1200.0,4-13905 /,Meat & Poultry,0
BOX041/102/NPL/900G/1500P,UNPRINTED LID - PLAIN CHICKEN LID 550mm x 390mm x 135mm 900G,UNPRINTED LID - PLAIN CHICKEN LID 550mm x 390mm x 135mm 900GSM 1500 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101100014,N,1000x1200,MTS,550.0,390.0,135.0,900.0,818.0,1318.0,30.0,10.0,5.0,2105.0,FG Box,0.0,Mix 70%,1500.0,4-13905 /,Meat & Poultry,1
BOX041/102/NPL/900G/900P,UNPRINTED LID - EV PLAIN LID 2017 *DS 550mm x 390mm x 135mm,UNPRINTED LID - EV PLAIN LID 2017 *DS 550mm x 390mm x 135mm 900GSM 900 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101101014,N,1000x1200,LID,550.0,390.0,135.0,900.0,818.0,1318.0,30.0,10.0,4.0,1715.0,FG Box,0.0,Mix 70%,900.0,4-13905 /,Meat & Poultry,0
BOX041/102/NPL/B0139/01/900G,PRINTED LID - RARE BREED PTD LID 550mm x 390mm x 135mm 900GS,PRINTED LID - RARE BREED PTD LID 550mm x 390mm x 135mm 900GSM 1500 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101101108,N,1000x1200,MTO,550.0,390.0,135.0,900.0,818.0,1318.0,30.0,10.0,5.0,2105.0,FG Box,200.0,Mix 70%,1500.0,4-13905 /,Meat & Poultry,0
BOX041/102/NPL/D0096/01/900G,PRINTED LID - SUTTON HOO LID 550mm x 390mm x 135mm 900GSM 15,PRINTED LID - SUTTON HOO LID 550mm x 390mm x 135mm 900GSM 1500 Per Pallet,Glued Lid 4PT No Pol,,0.4871,1,101100929,N,1000x1200,MTO,550.0,390.0,135.0,900.0,818.0,1318.0,30.0,10.0,5.0,2105.0,FG Box,100.0,Mix 70%,1500.0,4-13905 /,Meat & Poultry,1
