zone,service,vendor,source_sheet_row,pallet_1,pallet_2,pallet_3,pallet_4,pallet_5,pallet_6,pallet_7,pallet_8,pallet_9,pallet_10,pallet_11,pallet_12,pallet_13,pallet_14,pallet_15,pallet_16,pallet_17,pallet_18,pallet_19,pallet_20,pallet_21,pallet_22,pallet_23,pallet_24,pallet_25,pallet_26
SY(All Others),Economy,McDowells,483,50,100,150,188,215,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
TQ,Next Day,Joda,484,78,150,222,291,316,375,402,460,517,575,631,689,746,804,862,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
TQ,Next Day,McDowells,485,93,183,269,351,422,486,552,618,683,716,779,882,986,986,986,986,986,986,986,986,986,986,986,986,986,986
TQ,Economy,Joda,486,65,125,183,242,270,320,402,460,517,575,631,689,746,804,862,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
TQ,Economy,McDowells,487,77,154,231,297,372,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
W,Next Day,Joda,488,82,160,235,307,327,378,427,488,548,610,671,695,728,744,755,795,795,795,795,795,795,795,795,795,795,795
W,Next Day,McDowells,489,83,166,245,323,386,445,502,517,564,597,607,618,633,649,664,675,685,695,706,711,716,716,716,716,716,716
W,Economy,Joda,490,71,160,201,267,291,349,427,488,548,610,671,695,728,744,755,795,795,795,795,795,795,795,795,795,795,795
W,Economy,McDowells,491,78,151,222,291,344,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
WC,Next Day,Joda,492,82,160,235,307,327,378,427,488,548,610,671,686,702,728,761,795,795,795,795,795,795,795,795,795,795,795
WC,Next Day,McDowells,493,83,166,245,323,386,445,502,517,564,597,607,618,633,649,664,675,685,695,706,711,716,716,716,716,716,716
WC,Economy,Joda,494,71,160,201,267,291,349,427,488,548,610,671,686,702,728,761,795,795,795,795,795,795,795,795,795,795,795
WC,Economy,McDowells,495,78,151,222,291,344,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
DG,Next Day,Joda,496,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Next Day,McDowells,497,85,170,245,323,332,343,374,436,457,488,540,571,602,623,654,685,716,737,758,779,779,779,779,779,779,779
DG,Economy,Joda,498,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Economy,McDowells,499,78,151,222,291,311,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
DG 1-7 & 10-16,Next Day,Joda,500,87,172,252,327,348,416,455,520,584,650,714,753,753,753,753,749,749,749,749,749,749,749,749,749,749,749
DG 1-7 & 10-16,Next Day,McDowells,501,85,170,245,323,332,343,374,436,457,488,540,571,602,623,654,685,716,737,758,779,779,779,779,779,779,779
DG 1-7 & 10-16,Economy,Joda,502,76,150,221,291,301,365,455,520,584,650,714,753,753,753,753,749,749,749,749,749,749,749,749,749,749,749
DG 1-7 & 10-16,Economy,McDowells,503,78,151,222,291,311,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
DG 8-9,Next Day,Joda,504,87,172,252,327,348,416,455,520,584,650,714,753,753,753,753,749,749,749,749,749,749,749,749,749,749,749
DG 8-9,Next Day,McDowells,505,85,170,245,323,332,343,374,436,457,488,540,571,602,623,654,685,716,737,758,779,779,779,779,779,779,779
DG 8-9,Economy,Joda,506,76,150,221,291,301,365,455,520,584,650,714,753,753,753,753,749,749,749,749,749,749,749,749,749,749,749
DG 8-9,Economy,McDowells,507,78,151,222,291,311,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
PL,Next Day,Joda,508,87,169,250,328,348,403,449,512,576,640,704,769,832,896,961,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533
PL,Next Day,McDowells,509,93,183,269,351,422,486,552,618,683,716,779,882,986,986,986,986,986,986,986,986,986,986,986,986,986,986
PL,Economy,Joda,510,76,149,220,287,303,361,449,512,576,640,704,769,832,896,961,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533
PL,Economy,McDowells,511,77,154,231,297,372,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
SA,Next Day,Joda,512,87,169,250,326,348,403,449,512,576,637,670,695,695,721,773,773,773,773,773,773,773,773,773,773,773,773
SA,Next Day,McDowells,513,93,183,269,351,422,486,552,618,683,716,779,882,986,986,986,986,986,986,986,986,986,986,986,986,986,986
SA,Economy,Joda,514,76,149,220,287,303,361,449,512,576,637,670,695,695,721,773,773,773,773,773,773,773,773,773,773,773,773
SA,Economy,McDowells,515,77,154,231,297,372,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
TD,Next Day,Joda,516,86,169,249,322,343,397,449,512,576,640,704,769,778,778,778,778,778,778,778,778,778,778,778,778,778,778
TD,Next Day,McDowells,517,85,170,245,323,332,343,374,436,457,488,540,571,602,623,654,685,716,737,758,779,779,779,779,779,779,779
TD,Economy,Joda,518,75,148,217,287,297,355,449,512,576,640,704,769,778,778,778,778,778,778,778,778,778,778,778,778,778,778
TD,Economy,McDowells,519,78,151,222,291,311,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
TR,Next Day,Joda,520,86,171,252,324,343,403,449,512,576,640,704,769,832,896,961,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646
